area_code,industry_code,occupation_code,value
0010540,000000,413011,40.0
0010540,000000,413021,40.0
0010540,000000,413031,60.0
0010540,000000,413091,130.0
0010540,000000,414011,70.0
0010540,000000,414012,230.0
0010540,000000,431011,300.0
0010540,000000,433011,50.0
0010540,000000,433021,90.0
0010540,000000,433031,530.0
0010540,000000,433051,50.0
0010540,000000,433061,30.0
0010540,000000,433071,90.0
0010540,000000,434031,70.0
0010540,000000,434051,360.0
0010540,000000,434061,60.0
0010540,000000,434081,50.0
0010540,000000,434111,50.0
0010540,000000,434131,50.0
0010540,000000,434151,30.0
0010540,000000,434161,40.0
0010540,000000,434171,250.0
0010540,000000,434199,90.0
0010540,000000,436011,90.0
0010540,000000,436013,310.0
0010540,000000,436014,750.0
0010540,000000,439061,1040.0
0010540,000000,439199,150.0
0010580,000000,111011,730.0
0010580,000000,111021,7360.0
0010580,000000,111031,770.0
0010580,000000,112011,80.0
0010580,000000,112021,460.0
0010580,000000,112022,700.0
0010580,000000,113021,1530.0
0010580,000000,113031,1730.0
0010580,000000,113051,440.0
0010580,000000,113061,430.0
0010580,000000,113071,210.0
0010580,000000,113111,90.0
0010580,000000,113121,690.0
0010580,000000,113131,100.0
0010580,000000,119021,440.0
0010580,000000,119031,170.0
0010580,000000,119032,770.0
0010580,000000,119033,560.0
0010580,000000,119039,60.0
0010580,000000,119041,600.0
0010580,000000,119051,380.0
0010580,000000,119081,0.0
0010580,000000,119111,1410.0
0010580,000000,119121,130.0
0010580,000000,119131,60.0
0010580,000000,119141,240.0
0010580,000000,119151,840.0
0010580,000000,119161,70.0
0010580,000000,119198,1170.0
0010580,000000,131031,1410.0
0010580,000000,131041,1340.0
0010580,000000,131051,530.0
0010580,000000,131071,2110.0
0010580,000000,131075,780.0
0010580,000000,131081,170.0
0010580,000000,131111,2750.0
0010580,000000,131121,540.0
0010580,000000,131131,350.0
0010580,000000,131141,900.0
0010580,000000,131151,1440.0
0010580,000000,131161,1630.0
0010580,000000,131198,3140.0
0010580,000000,132011,4530.0
0010580,000000,132031,530.0
0010580,000000,132041,100.0
0010580,000000,132052,580.0
0010580,000000,132053,0.0
0010580,000000,132061,240.0
0010580,000000,132071,110.0
0010580,000000,132072,610.0
0010580,000000,132081,1460.0
0010580,000000,132082,0.0
0010580,000000,132098,1200.0
0010580,000000,151211,3700.0
0010580,000000,151212,250.0
0010580,000000,151221,100.0
0010580,000000,151231,680.0
0010580,000000,151232,2320.0
0010580,000000,151241,420.0
0010580,000000,151244,1560.0
0010580,000000,151245,530.0
0010580,000000,151251,1930.0
0010580,000000,151256,3420.0
0010580,000000,151257,580.0
0010580,000000,151299,590.0
0010580,000000,152011,250.0
0010580,000000,152031,400.0
0010580,000000,152041,120.0
0010580,000000,171011,450.0
0010580,000000,171012,70.0
0010580,000000,171022,0.0
0010580,000000,172041,190.0
0010580,000000,172051,1430.0
0010580,000000,172061,0.0
0010580,000000,172071,1050.0
0010580,000000,172072,130.0
0010580,000000,172081,510.0
0010580,000000,172111,120.0
0010580,000000,172112,1470.0
0010580,000000,172131,60.0
0010580,000000,172141,970.0
0010580,000000,172161,60.0
0010580,000000,172199,310.0
0010580,000000,173011,250.0
0010580,000000,173012,70.0
0010580,000000,173013,180.0
0010580,000000,173019,40.0
0010580,000000,173022,160.0
0010580,000000,173023,480.0
0010580,000000,173025,90.0
0010580,000000,173026,490.0
0010580,000000,173027,100.0
0010580,000000,173031,130.0
0010580,000000,173098,240.0
0010580,000000,191012,30.0
0010580,000000,191021,200.0
0010580,000000,191023,70.0
0010580,000000,191029,80.0
0010580,000000,191042,990.0
0010580,000000,192021,50.0
0010580,000000,192031,420.0
0010580,000000,192041,560.0
0010580,000000,192042,110.0
0010580,000000,192099,570.0
0010580,000000,193031,470.0
0010580,000000,193039,40.0
0010580,000000,193051,80.0
0010580,000000,193093,50.0
0010580,000000,193099,210.0
0010580,000000,194021,640.0
0010580,000000,194031,280.0
0010580,000000,194042,90.0
0010580,000000,194045,30.0
0010580,000000,194061,0.0
0010580,000000,194099,900.0
0010580,000000,195011,410.0
0010580,000000,211012,1420.0
0010580,000000,211013,60.0
0010580,000000,211015,800.0
0010580,000000,211018,710.0
0010580,000000,211019,0.0
0010580,000000,211021,1660.0
0010580,000000,211022,590.0
0010580,000000,211023,470.0
0010580,000000,211029,250.0
0010580,000000,211091,360.0
0010580,000000,211092,270.0
0010580,000000,211093,1820.0
0010580,000000,211094,530.0
0010580,000000,211099,370.0
0010580,000000,212011,350.0
0010580,000000,212021,260.0
0010580,000000,231011,3320.0
0010580,000000,231023,210.0
0010580,000000,232011,1140.0
0010580,000000,232093,50.0
0010580,000000,232099,400.0
0010580,000000,271011,0.0
0010580,000000,271014,80.0
0010580,000000,271021,70.0
0010580,000000,271023,100.0
0010580,000000,271024,620.0
0010580,000000,271025,130.0
0010580,000000,271026,230.0
0010580,000000,271029,0.0
0010580,000000,273011,80.0
0010580,000000,273023,110.0
0010580,000000,273031,1440.0
0010580,000000,273041,460.0
0010580,000000,273042,80.0
0010580,000000,273043,110.0
0010580,000000,273091,160.0
0010580,000000,273099,50.0
